                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80206,                 0.7905,                 1.1178,                 0.8137,                0.70186,                0.82084,                0.68869,                0.79613,                 1.3441,                  1.196,                0.00307,                0.00307,                0.00307
                     37,                0.79842,                 0.7704,                 1.1132,                0.77279,                0.80715,                0.83808,                0.71084,                0.79905,                 1.4334,                 1.1995,               0.002872,               0.002872,               0.002872
                     38,                0.78656,                0.75045,                 1.1063,                 0.7754,                0.82034,                0.87001,                0.72989,                0.75012,                 1.3027,                 1.1487,               0.002674,               0.002674,               0.002674
                     39,                0.77832,                 0.7308,                 1.0986,                0.80827,                0.83418,                0.86076,                0.73452,                0.75593,                 1.3676,                 1.1605,               0.002476,               0.002476,               0.002476
                     40,                0.77265,                0.72445,                 1.0975,                0.83163,                0.81347,                0.91068,                0.77061,                0.76489,                 1.3064,                  1.151,               0.002278,               0.002278,               0.002278
                     41,                0.65378,                0.59631,                 1.0368,                0.86444,                0.80022,                0.84163,                0.71643,                0.76169,                 1.4797,                 1.1602,                0.00208,                0.00208,                0.00208
                     42,                0.63607,                0.55158,                 1.0291,                0.86418,                0.84049,                0.91003,                0.77073,                0.76219,                 1.3464,                 1.1747,               0.001882,               0.001882,               0.001882
                     43,                0.62914,                 0.5351,                 1.0206,                0.87792,                0.81385,                0.90578,                0.76898,                0.76607,                 1.2528,                 1.1652,               0.001684,               0.001684,               0.001684
                     44,                0.60683,                0.50593,                 1.0076,                0.89505,                0.82646,                0.90276,                0.77592,                0.75362,                 1.2329,                 1.1619,               0.001486,               0.001486,               0.001486
                     45,                0.60325,                0.49378,                 1.0022,                0.86692,                0.80481,                0.89673,                0.77596,                0.74217,                 1.2829,                 1.1491,               0.001288,               0.001288,               0.001288
                     46,                0.60005,                0.48469,                  1.001,                0.88227,                0.82324,                0.91572,                0.79473,                0.74807,                 1.2915,                 1.1582,                0.00109,                0.00109,                0.00109
                     47,                0.58336,                0.46508,                0.99024,                0.88151,                0.79537,                0.91218,                0.78562,                0.71669,                 1.2838,                 1.1288,               0.000892,               0.000892,               0.000892
                     48,                0.57178,                0.45022,                0.97827,                0.88126,                0.79627,                0.89179,                0.77584,                0.71766,                 1.2409,                 1.1293,               0.000694,               0.000694,               0.000694
                     49,                0.56105,                0.43923,                0.97572,                0.87769,                 0.7993,                0.91413,                0.79575,                0.73426,                 1.2093,                 1.1555,               0.000496,               0.000496,               0.000496
                     50,                0.55433,                0.42862,                0.97438,                0.86723,                0.79562,                0.91025,                0.79471,                0.71676,                 1.2302,                 1.1393,               0.000298,               0.000298,               0.000298
